Fiber #, Xlens [cm], Ylens [cm], Zlens [cm], Xmid [cm], Ymid [cm], Zmid [cm]
1, -48.235, -191.06, 115.564, -115.80128849499316, -121.3287128938663, 0.0
2, -49.095, -190.051, 115.587, -121.17013798907227, -115.0140167467478, -1.4210854715202004e-14
3, -49.965, -188.961, 115.608, -126.26104942249535, -108.56351284349114, -1.4210854715202004e-14
4, -48.424, -192.19, 115.596, -116.9509836086053, -127.78136441278613, 1.4210854715202004e-14
5, -49.304, -191.22, 115.621, -122.48753536957852, -121.8555762249716, 0.0
6, -50.194, -190.161, 115.644, -128.3031903045033, -114.96890138143071, 1.4210854715202004e-14
7, -48.603, -193.29, 115.627, -118.0771363460639, -134.50496296385526, -1.4210854715202004e-14
8, -49.523, -192.36, 115.654, -124.00571927750897, -128.66579435934707, 0.0
9, -50.422, -191.35, 115.679, -129.69294646039154, -122.37853791665424, -1.4210854715202004e-14
10, -48.781, -194.39, 115.658, -119.27931908592649, -141.37307738843012, 0.0
11, -49.721, -193.48, 115.687, -125.31539993454362, -135.60628689571328, 0.0
12, -50.651, -192.47, 115.713, -131.2534101897808, -129.2009490487594, 1.4210854715202004e-14
13, -48.99, -195.409, 115.689, -120.55925787335008, -147.55770868643899, 0.0
14, -49.93, -194.56, 115.719, -126.35827892652551, -142.20676249226779, 1.4210854715202004e-14
15, -50.88, -193.625, 115.747, -133.0259633351138, -136.05232000186027, 0.0
16, -49.169, -196.479, 115.719, -121.89043725265553, -154.17683771112786, 0.0
17, -50.139, -195.619, 115.75, -127.53926000937801, -148.51538579318176, 1.4210854715202004e-14
18, -51.088, -194.73, 115.78, -134.66461519157045, -142.59238336911886, -1.4210854715202004e-14
19, -49.338, -197.499, 115.748, -123.31932842585599, -159.99779782369, 0.0
20, -50.317, -196.699, 115.781, -128.9878739177971, -155.35286024340652, 1.4210854715202004e-14
21, -51.327, -195.849, 115.814, -135.82048349049452, -150.13001178268092, -1.4210854715202004e-14
22, -49.526, -198.509, 115.777, -124.35648616469655, -166.51382643999384, 0.0
23, -50.526, -197.749, 115.812, -130.6439974512639, -161.74900692656428, 0.0
24, -51.526, -196.919, 115.846, -136.90158730221884, -156.6059227669309, 0.0
25, -49.725, -199.519, 115.808, -125.67443911979751, -172.51365274619303, 0.0
26, -50.722, -198.799, 115.843, -132.0250826209953, -168.07944788720215, 0.0
27, -51.757, -198.009, 115.879, -138.6301353767317, -162.9751414225322, 0.0
28, -49.884, -200.518, 115.836, -127.07706094604669, -178.1098547602923, -1.4210854715202004e-14
29, -50.904, -199.809, 115.872, -133.43248886315158, -174.2394089814614, 1.4210854715202004e-14
30, -51.983, -199.049, 115.911, -139.6177898643329, -169.67460376368683, 0.0
31, -50.073, -201.498, 115.865, -128.33861678631467, -184.95465863332396, 1.4210854715202004e-14
32, -51.107, -200.838, 115.903, -134.73134388890648, -180.31698595588028, 1.4210854715202004e-14
33, -52.142, -200.109, 115.94, -140.81109686724523, -175.91383665395057, 0.0
